,expected_timing_alpha_60d,regime_baseline_60d,expected_net_return_60d,raw_probability,probability_positive,forecast_percentile,expert,model_train_end,calibration_method,calibration_samples,calibration_brier,calibration_ece,price_to_ma200,ma50_to_ma200,drawdown_60d,momentum_20d,Breadth_Score_change_5d,Risk_Score_change_5d
2012-01-03,,,,,,,,,,,,,,,,,,
2012-01-04,,,,,,,,,,,,,,,,,,
2012-01-05,,,,,,,,,,,,,,,,,,
2012-01-06,,,,,,,,,,,,,,,,,,
2012-01-09,,,,,,,,,,,,,,,,,,
2012-01-10,,,,,,,,,,,,,,,,,,-0.6586018077578011
2012-01-11,,,,,,,,,,,,,,,,,,-0.37244592445478375
2012-01-12,,,,,,,,,,,,,,,,,,-0.9390312658449069
2012-01-13,,,,,,,,,,,,,,,,,,-0.35596008090124087
2012-01-17,,,,,,,,,,,,,,,,,,1.2900406875522172
2012-01-18,,,,,,,,,,,,,,,,,,-0.6315664560613357
2012-01-19,,,,,,,,,,,,,,,,,,-1.5639702150914658
2012-01-20,,,,,,,,,,,,,,,,,,-1.0774392127992485
2012-01-23,,,,,,,,,,,,,,,,,,-0.34201880095973536
2012-01-24,,,,,,,,,,,,,,,,,,-2.1981539234420353
2012-01-25,,,,,,,,,,,,,,,,,,-0.3453742022338382
2012-01-26,,,,,,,,,,,,,,,,,,0.6038956173012586
2012-01-27,,,,,,,,,,,,,,,,,,1.7823829999197045
2012-01-30,,,,,,,,,,,,,,,,,,2.6836666861586735
2012-01-31,,,,,,,,,,,,,,,,,,1.4261675161936012
2012-02-01,,,,,,,,,,,,,,,,0.07240781087566917,,0.19649863412300306
2012-02-02,,,,,,,,,,,,,,,,0.07122855327965616,,-0.034815106396795414
2012-02-03,,,,,,,,,,,,,,,,0.0770696217183584,,-0.6492270523712307
2012-02-06,,,,,,,,,,,,,,,,0.0724788927962261,,-1.1624737420251847
2012-02-07,,,,,,,,,,,,,,,,0.078271745187112,,-0.3042067794315102
2012-02-08,,,,,,,,,,,,,,,,0.07615420190250255,,1.1243721980131731
2012-02-09,,,,,,,,,,,,,,,,0.08167135104195267,,0.9896073811578816
2012-02-10,,,,,,,,,,,,,,,,0.06987510771358729,,3.024153435637704
2012-02-13,,,,,,,,,,,,,,,,0.08370584877325649,,-0.6102506289838487
2012-02-14,,,,,,,,,,,,,,,,0.07664796738147084,,-1.2207979985101787
2012-02-15,,,,,,,,,,,,,,,,0.05513561224612773,,-0.1368182704943166
2012-02-16,,,,,,,,,,,,,,,,0.06298036099373316,,-1.8264603258159404
2012-02-17,,,,,,,,,,,,,,,,0.061234701856230034,,-4.218128153211794
2012-02-21,,,,,,,,,,,,,,,,0.06389035966254952,,-1.349487602735291
2012-02-22,,,,,,,,,,,,,,,,0.06099176008236018,,-0.9791148334478805
2012-02-23,,,,,,,,,,,,,,,,0.05477388252727611,,-2.4287424017318067
2012-02-24,,,,,,,,,,,,,,,,0.062105493563536784,,-0.22333965301567105
2012-02-27,,,,,,,,,,,,,,,,0.06043008918164272,,0.5321613511122365
2012-02-28,,,,,,,,,,,,,,,,0.07030594373243959,,0.3164822621086145
2012-02-29,,,,,,,,,,,,,,,,0.06410071445553056,,0.5524383106638311
2012-03-01,,,,,,,,,,,,,,,,0.06391360392010426,,0.17451148090103885
2012-03-02,,,,,,,,,,,,,,,,0.05979397708168954,,-0.05799136735031141
2012-03-05,,,,,,,,,,,,,,,,0.034649461421977445,,-0.2155856865252872
2012-03-06,,,,,,,,,,,,,,,,0.025322602498064395,,1.7983879247344028
2012-03-07,,,,,,,,,,,,,,,,0.0310637332369037,,-0.1878668850437606
2012-03-08,,,,,,,,,,,,,,,,0.0366638911211723,,0.019756406140363225
2012-03-09,,,,,,,,,,,,,,,,0.033539728706518,,-0.08601880758909886
2012-03-12,,,,,,,,,,,,,,,,0.0412999918350907,,-0.511930345670109
2012-03-13,,,,,,,,,,,,,,,,0.0509118181879209,,-2.5113661593650427
2012-03-14,,,,,,,,,,,,,,,,0.0518905204193123,,-0.9492375962920647
2012-03-15,,,,,,,,,,,,,,,,0.06229085394923817,,-0.5320167986733253
2012-03-16,,,,,,,,,,,,,,,,0.04719333454965646,,-0.3680532650983537
2012-03-19,,,,,,,,,,,,,,,,0.057917967085272304,,0.006619946960569223
2012-03-20,,,,,,,,,,,,,,,,0.05681390433760969,,0.09755447263407646
2012-03-21,,,,,,,,,,,,,,,,0.0618122170113975,,0.16465101897668433
2012-03-22,,,,,,,,,,,,,,,,0.052615010319890576,,0.21624009421391222
